month,total_ai_articles
2022-11,19522
2022-12,16904
2023-01,18850
2023-02,18467
2023-03,24753
2023-04,32522
2023-05,32112
2023-06,30793
2023-07,25092
2023-08,26692
2023-09,28849
2023-10,28297
2023-11,28830
2023-12,24665
2024-01,25845
2024-02,33639
2024-03,29827
2024-04,27184
2024-05,27828
2024-06,31347
2024-07,30167
2024-08,25951
2024-09,28785
2024-10,28378
2024-11,33197
2024-12,28436
2025-01,31818
2025-02,30568
2025-03,34129
2025-04,26756
2025-05,25466
2025-06,12970
2025-07,28096
2025-08,25137
2025-09,29315
2025-10,26587
2025-11,24960
2025-12,26202
2026-01,27768
2026-02,29378
2026-03,28950
2026-04,26851
2026-05,28908
2026-06,20460
